Time,Rudder,Aileron,Elevator,Flap,Velocity kt,a_x fts^2,a_y fts^2,a_z fts^2,Side-slip angle deg,Angle of attack deg,Roll rate degs,Pitch rate degs,Yaw rate degs,Roll deg,Pitch deg
2780.12,0,-0.00384707625,-0.009454432781,0,108.1663479,0.06074412938,0.1273327642,-31.99106212,-0.2424127866,-0.3052973423,-0.0005322315939,-0.02408331423,-0.00587111219,-0.2983910696,0.2391135956
2780.13,0,-0.00384707625,-0.009454432781,0,108.1662078,0.0606887114,0.1273337315,-31.99097593,-0.2424139259,-0.3052955819,-0.0005191340777,-0.0241037172,-0.005872573532,-0.2984041594,0.2385249818
2780.17,0,-0.00384707625,-0.009454432781,0,108.1660306,0.06060480406,0.1273339492,-31.9909088,-0.2424149059,-0.3052934192,-0.0005017383474,-0.02412956337,-0.005874480463,-0.2984211015,0.237739349
2780.18,0,-0.00384707625,-0.009454432781,0,108.1659425,0.06056273011,0.1273345517,-31.99087475,-0.24241567,-0.3052924011,-0.00049308874,-0.02414033877,-0.005875412368,-0.2984293562,0.2373462249
2780.22,0,-0.00384707625,-0.009454432781,0,108.165771,0.06048505488,0.1273358725,-31.9907782,-0.2424172015,-0.3052902047,-0.0004754324542,-0.02416577611,-0.005877211355,-0.2984454298,0.2365594119
2780.23,0,-0.00384707625,-0.009454432781,0,108.1656877,0.06044238976,0.1273364556,-31.99074697,-0.2424179679,-0.3052891882,-0.0004665644669,-0.02417769251,-0.005878103382,-0.2984532451,0.2361656794
2780.27,0,-0.00384707625,-0.009454432781,0,108.1655258,0.06035703337,0.1273376651,-31.99068621,-0.2424195009,-0.3052872651,-0.0004488174424,-0.02419731605,-0.005879861315,-0.2984684322,0.2353776603
2780.28,0,-0.00384707625,-0.009454432781,0,108.1654472,0.06032111767,0.1273384024,-31.99062574,-0.242420268,-0.3052861629,-0.000439724244,-0.02421035717,-0.005880692528,-0.2984758029,0.2349833982
2780.32,0,-0.00384707625,-0.009454432781,0,108.1652949,0.0602345736,0.127339582,-31.99057056,-0.2424218011,-0.3052842453,-0.0004216005722,-0.02423228707,-0.005882341358,-0.2984900905,0.2341942599
2780.33,0,-0.00384707625,-0.009454432781,0,108.1652212,0.06019128759,0.127340196,-31.99054375,-0.2424225669,-0.3052833476,-0.0004125456393,-0.02424112616,-0.00588314716,-0.2984970078,0.2337994318
